name,online_order,book_table,rate,votes,location,cuisines,cost_for_two,normalized_rating
sonar bangala,yes,no,3.8,76,koramangala 5th block,"bengali, north indian",500,3.8924888766239114
krem,yes,no,4.1,61,koramangala 5th block,"desserts, ice cream, beverages, sandwich",450,3.922684172865259
samaikya,yes,yes,3.9,533,hsr,"andhra, seafood, biryani",900,3.902304342267036
zangos grill,yes,no,4.0,188,koramangala 1st block,"bbq, fast food",300,3.9274583834507686
pasta street,yes,yes,4.5,245,koramangala 4th block,"italian, pizza, salad",1300,4.078935503239412
helloo delhi,yes,yes,4.1,221,koramangala 4th block,north indian,1000,3.9576232521036316
sufra restaurant,yes,yes,3.7,111,hsr,"north indian, chinese",800,3.8720656420344004
cafe thulp,yes,no,4.1,3001,koramangala 1st block,"cafe, burger, italian, salad",1000,4.067814610442135
the smoke co.,yes,yes,4.3,516,koramangala 6th block,"american, european",2500,4.088789594135635
rashtrakutas,yes,yes,3.9,402,hsr,"south indian, biryani, north indian",800,3.9026083390817212
hunger hitman,yes,no,3.8,257,koramangala,"north indian, chinese",300,3.872747736684138
snow'ora,yes,yes,4.3,342,koramangala 4th block,"desserts, ice cream, beverages",450,4.049399872141638
new friends,yes,no,3.8,273,btm,"north indian, continental, chinese, steak",900,3.871400556375172
lazeez,yes,no,3.2,908,koramangala 5th block,"north indian, mughlai, biryani",600,3.4777118617132414
aalishan restaurant & caterer,yes,no,3.5,888,koramangala 7th block,"north indian, mughlai",650,3.661588965996044
hotel food lands,yes,no,3.8,57,koramangala 7th block,"seafood, mangalorean",700,3.8952007418335635
peace restaurant,yes,no,3.8,658,koramangala 5th block,"chinese, tibetan",500,3.849391577828782
china pearl,yes,yes,4.4,1851,koramangala 6th block,chinese,1100,4.280053268103256
anupam's coast ii coast,yes,no,4.1,841,koramangala 6th block,"seafood, mangalorean, north indian, chinese",700,4.019266816136976
yum kitchen,yes,no,3.2,51,hsr,"north indian, chinese",600,3.8484269169908862
pazzo,yes,no,4.3,372,hsr,"american, modern indian, italian, south indian",700,4.057206729707319
what's in a name,yes,yes,4.1,1774,koramangala 5th block,"finger food, asian, european, italian",1200,4.051116313195834
dragon's kitchen,yes,no,3.1,248,hsr,chinese,500,3.666615114074075
tunday kababi,yes,no,3.9,1138,koramangala 5th block,"north indian, kebab",500,3.9014980223875932
maria's goan kitchen,yes,no,3.9,391,koramangala 7th block,"goan, chinese, biryani",750,3.9026375567292755
dhaba bytes,yes,no,4.1,131,hsr,north indian,650,3.939875458044527
noon's,yes,no,4.2,161,hsr,biryani,300,3.9676729796650916
readybowl,yes,no,3.7,69,btm,"andhra, south indian, north indian, biryani",400,3.8830152738002255
the waffle street,yes,no,3.9,46,hsr,"continental, beverages, burger, coffee, desserts",300,3.9040660607663247
pizza cart,yes,no,3.8,80,hsr,pizza,800,3.8919375271358403
china bowl,yes,no,3.9,455,koramangala 6th block,chinese,1000,3.9024761765852283
grills and tandoor,yes,yes,3.6,107,koramangala 5th block,"north indian, chinese",900,3.85772217866497
smokey tribe restaurant,yes,no,3.8,264,koramangala 7th block,"north eastern, chinese",650,3.8721521411791215
harry's bar + cafe,yes,yes,4.2,1365,koramangala 7th block,"asian, american, mexican",1400,4.11068000036204
indus family restaurant,yes,no,3.8,117,btm,"north indian, biryani",600,3.8871328823561426
brooks and bonds brewery,yes,yes,4.4,3870,koramangala 5th block,"continental, mediterranean, north indian, chinese, finger food",1600,4.334339852209853
narmadha's hyderabad biriyani,no,no,3.9,204,btm,"biryani, north indian, andhra",550,3.903257963154904
the marash,yes,no,4.3,62,koramangala 5th block,"turkish, desserts",250,3.9419449934274864
gods own cafe,yes,no,4.4,384,koramangala 7th block,"south indian, kerala, seafood",300,4.099579569957076
tim tai,yes,yes,4.4,3667,koramangala 5th block,"chinese, thai, asian, malaysian, vietnamese, sri lankan, burmese",1400,4.33120950697702
eat n drink,no,no,3.8,87,btm,fast food,250,3.890988319628538
fill n chill resto bar & pub,yes,yes,3.9,597,koramangala 4th block,"finger food, north indian, chinese",1200,3.902180202616287
shift,yes,yes,4.2,1867,hsr,"finger food, continental, north indian",1500,4.128921920548474
snakk that,yes,no,3.9,52,hsr,"burger, beverages, fast food",250,3.9040281192972768
swathi maharaja,yes,yes,3.7,291,koramangala 4th block,"andhra, north indian, chinese, biryani",750,3.8369502048845225
via milano,yes,yes,4.2,1617,koramangala 4th block,"salad, italian, desserts, pizza",1500,4.120874130755502
mimansa @ foxtrot,yes,yes,4.4,191,koramangala 3rd block,cafe,1000,4.025434885816047
biriyaniz,yes,no,3.4,301,hsr,"biryani, north indian, chinese, andhra",400,3.734181704829763
oldtown dilli,yes,yes,4.1,252,koramangala 4th block,"mughlai, north indian, turkish, afghan",750,3.9628589332243758
taj darbar,yes,no,3.8,149,koramangala 5th block,"biryani, mughlai, chinese",600,3.8833649739299307
fava bistro,yes,yes,4.4,383,koramangala 5th block,"mediterranean, pizza, italian, beverages",1500,4.099271130090502
more than chocolates,no,no,3.6,81,btm,bakery,200,3.8676935724823642
tandoor hut,yes,no,4.1,1003,koramangala 5th block,"north indian, mughlai, chinese, rolls",700,4.027471819766718
elmas restaurant,yes,no,3.4,34,koramangala 7th block,"north indian, kerala, chinese, biryani, seafood, south indian",650,3.876944129133038
the sandwich club,yes,no,3.9,88,hsr,fast food,250,3.903814551852944
crawl street,yes,yes,4.3,2563,koramangala 5th block,"continental, finger food, north indian, chinese",1200,4.225868763699476
vintage shack,yes,yes,3.9,160,hsr,"north indian, continental",900,3.903448842487548
zingron,yes,no,4.0,510,koramangala 7th block,"chinese, naga",750,3.9486740060927783
magnolia,yes,yes,4.1,668,koramangala 3rd block,"chinese, thai, asian",900,4.008173217401231
kargeens,yes,no,4.1,988,koramangala 6th block,"cafe, continental, italian",600,4.026782825020993
drunkling - sizzlers and pub,yes,yes,4.4,345,koramangala 5th block,"chinese, continental, north indian, burger, pizza, seafood",1000,4.087062052038621
the cheesecake corner,no,no,3.7,48,btm,desserts,400,3.8890298602631437
mid night hunting,yes,no,3.7,127,ejipura,"fast food, italian",300,3.8682313101784804
carrots,yes,yes,4.1,600,koramangala 6th block,"italian, north indian, healthy food, desserts",1100,4.002930378428337
rolls & co,yes,no,3.9,213,koramangala 6th block,"burger, beverages, rolls",400,3.9032214934180955
sunny cafe & kitchen,yes,yes,3.8,499,hsr,"cafe, continental, beverages, desserts",700,3.8565964043194025
dhaba express,yes,no,3.7,173,hsr,"biryani, fast food, north indian, chinese",400,3.8581021998797764
toki taco house,yes,no,3.6,72,koramangala 6th block,mexican,200,3.8713274218825777
hungry lee,no,no,4.1,358,btm,"chinese, thai, asian",500,3.9781771134964687
cinnamon,yes,no,3.9,450,hsr,"north indian, chinese, biryani",550,3.902488069844523
pabrai's fresh and naturelle icecreams,no,no,3.7,118,btm,"ice cream, desserts",300,3.87036682751502
banjara melting pot,yes,yes,4.2,767,koramangala 4th block,"north indian, chinese, seafood",1700,4.071347629387444
kopper kadai,yes,yes,4.1,1697,koramangala 5th block,"north indian, chinese",1200,4.049471189120694
late night,no,no,3.6,117,btm,"north indian, chinese",500,3.854082034898515
punjabi daawat,no,no,2.4,221,btm,north indian,550,3.4949385230395924
kevins kitchen,yes,no,3.7,103,koramangala 6th block,"north indian, chinese, biryani",400,3.8740491076486294
the biryani story,no,no,4.4,76,btm,"biryani, north indian, chinese, mughlai",600,3.9608546937153655
tasty magic,yes,no,2.7,73,btm,"chinese, north indian",600,3.771973013114682
melt,no,no,4.0,115,btm,"continental, steak, fast food",1000,3.919957621399644
food junction,no,no,3.5,42,btm,"north indian, chinese, street food, biryani",400,3.877551470313031
dash in,no,no,3.1,53,btm,"north indian, chinese, kerala",600,3.838183355136877
tandoor-de-naal,no,no,3.8,35,btm,fast food,200,3.89854645480535
new farm fresh,no,no,3.6,34,btm,"italian, pizza",650,3.887824129133038
entropy cafe,yes,no,4.1,505,koramangala 6th block,"cafe, chinese, pizza, north indian, burger",600,3.994516496996486
momo hut,yes,no,4.0,684,koramangala 5th block,"chinese, tibetan, momos",250,3.955678494673058
7 plates,yes,no,3.7,259,koramangala 5th block,"mughlai, fast food",750,3.8421059773037047
belgyum,yes,no,4.0,68,koramangala 7th block,desserts,400,3.9142489843826236
trigereato,yes,yes,4.4,100,koramangala 8th block,"cafe, continental, beverages",700,3.976107207971272
so-fat's dosas,no,no,3.8,43,btm,south indian,200,3.8973029664166385
night bell,no,no,3.1,53,south bangalore,"fast food, north indian",450,3.838183355136877
imperial restaurant,yes,no,3.6,241,koramangala 6th block,"seafood, biryani, south indian, chettinad, chinese, arabian, andhra, kerala",800,3.816214039312679
the hidden cafe,yes,no,3.9,95,koramangala 1st block,"north indian, fast food",350,3.9037756278544444
the shawarma inc,yes,no,3.3,94,koramangala 5th block,"arabian, fast food",200,3.8214453732965676
cashmere nites,yes,no,3.5,74,koramangala 6th block,kashmiri,600,3.859383580012254
chill-um cafe,yes,yes,4.1,151,koramangala 6th block,"cafe, chinese, continental",600,3.944191483434163
cafemoto,yes,no,4.0,201,koramangala 5th block,"cafe, continental, italian, burger",800,3.9286490918032184
kapoor's biriyani,yes,no,3.3,334,btm,"biryani, north indian",400,3.686151438603404
kokomo,yes,no,4.0,193,koramangala 6th block,"thai, chinese",500,3.9279210213114144
keep it straight cafe,yes,yes,3.9,202,hsr,"cafe, north indian, fast food",500,3.903266179959835
rollin,yes,no,4.1,209,koramangala 4th block,"continental, pizza, chinese",400,3.9554876008851863
donne biriyani house,yes,no,3.8,278,hsr,biryani,200,3.8709897361428642
habitts,yes,no,3.7,61,btm,"fast food, sandwich, italian",450,3.8852608599818232
btm bawarchi biryani,yes,no,3.5,132,btm,"biryani, north indian, chinese",600,3.8305533619753094
punjabi chulha,yes,no,3.8,38,koramangala 1st block,north indian,400,3.898076439917566
under the hood,yes,no,4.0,76,koramangala 1st block,"salad, healthy food, street food",300,3.9152774823210628
berry'd alive,yes,no,4.3,1899,koramangala 5th block,desserts,400,4.206100434019337
ghar ka khana,yes,no,3.7,95,koramangala 1st block,north indian,150,3.876078834851529
burger lounge,yes,no,3.0,72,koramangala 5th block,"burger, fast food, beverages",600,3.806169050841854
the kream story,yes,no,4.1,37,koramangala 7th block,"desserts, fast food",500,3.9159077718282624
banana beach bar,yes,yes,3.7,1014,koramangala 6th block,"continental, chinese",1300,3.775258617263644
kataria's home food,yes,no,3.1,40,btm,north indian,400,3.853391570060458
night spoon,yes,no,2.6,54,btm,"biryani, chinese, north indian",600,3.7951784197025566
gilly's restobar,no,yes,4.5,3902,koramangala 5th block,"finger food, continental, north indian",1000,4.421653701470765
mealsbaba,yes,no,3.7,57,hsr,north indian,400,3.8864044455372673
big wong xl,no,yes,4.5,678,koramangala 5th block,"chinese, sushi, asian, thai",1400,4.222608416633687
nagarjuna,no,no,4.3,2296,koramangala 5th block,"andhra, north indian, biryani",800,4.219012844027762
kritunga restaurant,no,no,3.8,1159,koramangala 5th block,"andhra, biryani, north indian, chinese",650,3.83525147469037
khawa karpo,no,no,4.3,988,koramangala 5th block,"chinese, tibetan, momos",350,4.151925320271152
the himalayan,no,yes,4.4,320,koramangala 5th block,korean,1200,4.0784742927641595
art of delight,no,no,4.3,449,koramangala 5th block,"ice cream, desserts, beverages",400,4.075182769911682
food and you,no,no,3.8,89,koramangala 5th block,"north indian, gujarati",300,3.890720706923749
petoo,yes,no,3.8,178,koramangala 1st block,"north indian, fast food, street food",800,3.8802211712719754
kebarbiq,yes,no,4.0,138,koramangala 7th block,"north indian, arabian, mughlai, middle eastern, grill",800,3.922482963934361
intriicake,yes,no,3.8,34,hsr,"bakery, desserts, italian, north indian, fast food",350,3.898704129133038
halo chef,yes,no,3.9,145,koramangala 4th block,north indian,500,3.903519131396941
natuna seafood house,yes,no,4.2,76,koramangala 5th block,seafood,450,3.938066088018214
zero kelvin,yes,no,4.3,169,koramangala 4th block,"desserts, beverages",450,3.9923553693528278
ocean,yes,no,3.8,213,koramangala 6th block,"mexican, continental, italian, chinese",700,3.876728956104663
sagar fast food,yes,no,3.7,66,btm,"south indian, chinese, north indian",300,3.883850959981962
raj darbar,yes,no,3.7,47,koramangala 6th block,"north indian, chinese, bengali",800,3.8893261453105783
house of commons,no,yes,4.8,4390,koramangala 5th block,"continental, asian, north indian",1000,4.693734206124904
happy brew,no,yes,4.0,2151,koramangala 5th block,"continental, american, chinese, bbq, salad",1000,3.9793909849409737
namaste kitchen,yes,no,3.8,172,koramangala 5th block,"north indian, south indian, chinese",400,3.880852006170575
california burrito,no,no,4.1,1223,koramangala 5th block,"mexican, fast food",400,4.03626796069909
royal treat,no,no,4.1,435,koramangala 5th block,"north indian, chinese, biryani",500,3.9873197667720754
moghul durbar restaurant,no,no,4.0,335,jayanagar,"north indian, bbq, kebab, rolls",550,3.9389741692312628
anjappar,no,no,3.9,1155,koramangala 4th block,"chettinad, south indian",650,3.9014834368317004
nandhana palace,no,yes,4.1,770,koramangala 4th block,"andhra, biryani, north indian, chinese",800,4.015055165839932
indian coffee house & restaurant,no,no,4.1,674,koramangala 5th block,"south indian, north indian, chinese",650,4.008608759453082
samosa party,no,no,4.1,42,koramangala 5th block,"street food, fast food",150,3.9173618968533157
baba da dhaba,no,yes,4.1,446,koramangala 7th block,north indian,650,3.9885150247908863
the thickshake factory,no,no,4.3,235,koramangala 7th block,"beverages, juices",350,4.0169371437144665
hari super sandwich,no,no,4.0,161,jayanagar,"fast food, street food",200,3.924853830728922
taj durbar,no,no,3.8,83,jayanagar,"north indian, bbq",400,3.891528309656007
hyderabad bawarchi,no,no,3.9,118,jayanagar,"north indian, biryani, chinese",800,3.9036531462738346
shree thali,no,no,4.0,181,koramangala 5th block,north indian,150,3.9268006226789494
gundappa donne biryani,no,no,3.1,117,koramangala 7th block,biryani,200,3.7714549162544477
the donut baker,no,no,3.8,62,koramangala 7th block,desserts,150,3.894471792814929
food theory,no,no,2.6,56,hsr,"biryani, north indian, italian, chinese, sandwich, desserts",500,3.791483895994048
multi cakes,no,no,3.7,44,jp nagar,"bakery, desserts",200,3.890220599540392
niice cream,no,no,3.8,38,koramangala 5th block,"ice cream, beverages, desserts",400,3.898076439917566
the denny's,no,no,3.7,91,jayanagar,"north indian, chinese",900,3.877111555290541
aaranya restaurant,yes,no,3.4,212,hsr,"north indian, chinese, mughlai",800,3.7712205239204843
sreeraj lassi bar,yes,no,4.0,87,btm,beverages,150,3.9166520364426973
cilantro,yes,yes,4.0,280,koramangala 4th block,"european, american, continental, north indian, steak",1500,3.93512064375218
#l-81 cafe,yes,no,3.9,48,hsr,"fast food, beverages",400,3.9040533344415476
aroma fine dine,yes,yes,4.0,127,hsr,"north indian, mughlai, chinese, south indian",900,3.921295377030848
amma's pastries,no,no,4.2,434,btm,"bakery, desserts",400,4.029551298251852
choco cheese,yes,no,4.4,63,btm,"desserts, beverages",300,3.9521255056699527
shri ram sweet centre,no,no,4.0,164,btm,"street food, mithai",150,3.9251524247790055
cakezone,no,no,4.1,342,btm,"bakery, desserts",500,3.976087975035529
just bake,yes,no,3.3,77,btm,bakery,400,3.8347156896828576
sweet truth,yes,no,4.0,30,btm,"bakery, desserts",500,3.9090017402707713
sri devi baker's,no,no,3.9,41,btm,"bakery, street food",200,3.90409822896859
calvin's,no,no,3.7,106,btm,desserts,600,3.8732999723215906
kurtoskalacs,no,no,4.6,342,koramangala 5th block,"desserts, fast food",400,4.159367717800802
the belgian waffle co.,yes,no,4.2,184,koramangala 5th block,"desserts, beverages",350,3.974567846075031
frozen bottle,yes,no,4.1,244,koramangala 5th block,"beverages, desserts, ice cream",400,3.961545006836107
krispy kreme,yes,no,4.2,449,koramangala 7th block,"desserts, beverages",300,4.032009692988605
banchharam,no,no,3.9,144,koramangala 7th block,"street food, mithai",200,3.9035239193308144
cream stone,yes,no,4.2,346,koramangala 5th block,"desserts, ice cream, beverages",500,4.013543309186925
baskin robbins,no,no,4.1,77,koramangala 7th block,"ice cream, desserts",300,3.926931258545133
lassi shop,yes,no,4.1,216,koramangala 5th block,"beverages, ice cream",200,3.9567411161191437
cream n desserts,no,no,3.7,49,koramangala 7th block,"desserts, beverages",400,3.8887345011064824
sangam sweets,yes,no,3.8,75,koramangala 3rd block,"mithai, street food",200,3.8926277488110346
a2b - adyar ananda bhavan,yes,no,3.8,685,btm,"south indian, north indian, chinese, street food, fast food",400,3.848346458235226
zam zam darbar,no,no,2.9,84,btm,"north indian, biryani, chinese",500,3.77939271216022
100ãâãâãâãâãâãâãâãâ°c,no,no,3.7,41,btm,"biryani, north indian",450,3.891123545424286
bamboo heights,no,no,3.7,112,btm,"chinese, fast food, continental",500,3.8718208829418903
chai point,yes,no,4.0,113,btm,"tea, beverages, fast food",250,3.9197302282786204
ambur star briyani,yes,no,3.5,383,btm,"biryani, kebab",400,3.745369692718839
kfc,yes,no,3.9,348,btm,"burger, fast food",400,3.902758339412299
domino's pizza,yes,no,4.1,521,btm,"pizza, fast food",400,3.996034245241141
faasos,yes,no,3.9,441,btm,"north indian, biryani, fast food",500,3.902509768128051
kabab magic,yes,no,3.9,879,btm,"north indian, kebab, fast food",500,3.901761959665407
just shawarma,yes,no,3.9,201,btm,arabian,300,3.9032703039244305
chaatimes,yes,no,3.4,46,btm,"street food, fast food",200,3.8679593103738603
zeeshan,yes,no,2.8,178,btm,"north indian, mughlai, biryani, rolls",700,3.6487517304397254
kesar sweet shop and fast food,no,no,4.0,213,btm,"north indian, south indian, chinese, street food, mithai",500,3.929714030731528
mcdonald's,yes,no,3.6,59,btm,"burger, fast food",500,3.876753970320229
udupi gokul cafe,no,no,3.8,58,btm,south indian,300,3.895054053479428
sri vishnupriya,no,no,3.0,67,btm,"south indian, north indian, chinese",300,3.812294955483509
pout,no,no,4.0,40,btm,beverages,400,3.910443868000236
ande ka funda,no,no,2.8,60,btm,"north indian, fast food, rolls",250,3.802596130120044
bombay adda,no,yes,4.5,2225,koramangala 7th block,modern indian,1100,4.374996477524201
the reservoire,no,yes,4.5,2540,koramangala 5th block,"continental, north indian, chinese, american, pizza, finger food",1300,4.387572686268971
indigo xp,no,no,4.3,2349,koramangala 5th block,"finger food, continental, asian, north indian",1400,4.220472816567398
fenny's lounge and kitchen,no,yes,4.5,6348,koramangala 7th block,"mediterranean, pizza, continental, seafood, salad",1600,4.449270799929117
sharief bhai,no,yes,4.3,1520,koramangala 5th block,"mughlai, biryani",700,4.18924210360405
echoes koramangala,no,no,4.7,3197,koramangala 5th block,"chinese, american, continental, italian, north indian",750,4.5758685535132395
chianti,no,yes,4.7,4845,koramangala 5th block,italian,1500,4.613500750682147
drava,no,yes,4.4,110,koramangala 5th block,"pizza, continental, north indian, asian",1500,3.982154180753422
the terrace at gilly's redefined,no,yes,4.6,866,koramangala 4th block,"continental, finger food, asian, north indian",1400,4.317838078728997
the boozy griffin,no,yes,4.6,4947,koramangala 5th block,"european, continental",1800,4.525765633930687
simon says brew works,no,yes,4.5,1932,koramangala 5th block,"continental, american, italian, modern indian, pizza, burger",1400,4.360479619781271
myu bar at gilly's redefined,no,yes,4.4,1213,koramangala 4th block,"american, north indian, pizza, finger food, continental, italian",1200,4.237633082432454
kobe sizzlers,no,yes,4.1,1786,koramangala 5th block,"american, continental, fast food, steak",1000,4.051363096637841
public - the rooftop bar and kitchen,no,yes,4.3,956,bannerghatta road,"north indian, south indian, andhra, chinese",1000,4.14886236632718
al-bek,yes,no,3.9,682,jayanagar,"north indian, mughlai, chinese, seafood",650,3.902034627421955
shanmukha,yes,no,4.4,1944,jayanagar,"biryani, andhra, north indian, chinese",800,4.284453680752722
chinita real mexican food,no,no,4.5,729,koramangala 5th block,mexican,1200,4.233325818718295
karama restaurant,yes,no,4.1,1555,koramangala 5th block,"arabian, north indian, beverages",750,4.046127717012185
sathya's,no,yes,4.1,759,koramangala 3rd block,"north indian, chinese",1200,4.014363022746776
rajdhani thali restaurant,yes,yes,4.0,792,koramangala 7th block,north indian,900,3.959139610056507
chung wah,yes,no,4.0,313,koramangala 5th block,"chinese, thai, momos, vietnamese",800,3.937489027332023
mani's dum biryani,yes,no,3.9,778,koramangala 5th block,"biryani, kebab",750,3.9018919508459815
tilt gastro lounge,no,yes,4.1,1235,koramangala 5th block,"continental, american, north indian, chinese",1500,4.036686791187376
bulls n bears - bar trade xchange,no,yes,3.9,144,koramangala 5th block,"finger food, north indian, continental, pizza",1000,3.9035239193308144
smoke - the sizzler house,yes,yes,4.0,1382,koramangala 7th block,"continental, chinese, thai, italian, bbq, steak",1100,3.9713583784633295
jukebox,no,yes,3.9,281,koramangala 7th block,"continental, parsi, chinese, north indian, italian, steak",1000,3.9029702760414553
sherlock's pub,no,yes,3.9,579,koramangala 5th block,"continental, north indian, chinese",1300,3.9022137441949987
starbucks,no,no,4.2,386,jp nagar,"cafe, desserts",700,4.021177155279579
lounge 189,no,no,3.8,157,hsr,"continental, italian",1300,3.882473369930681
axomi - taste of assam,yes,no,4.0,610,koramangala 7th block,assamese,500,3.952947610914362
mavalli tiffin room (mtr),no,no,4.1,873,jp nagar,south indian,300,4.021031475893544
leon grill,yes,no,4.3,165,koramangala 5th block,"burger, turkish, arabian, fast food, salad, healthy food, desserts",500,3.990727619984324
idc kitchen,no,no,4.2,51,koramangala 5th block,south indian,200,3.927866169327335
burger king,yes,no,3.9,1043,koramangala 7th block,"burger, fast food, beverages",600,3.901585116712453
fandom at gilly's redefined,no,no,3.8,103,koramangala 4th block,finger food,1500,3.888890606207707
atta galata,no,no,4.1,208,koramangala 5th block,"bakery, fast food",200,3.955306734303065
drunken monkey,yes,no,3.7,125,jp nagar,"beverages, fast food",400,3.8687012300393144
barcode,no,yes,3.8,169,koramangala 4th block,"south indian, north indian",1300,3.881171158826512
flavor of tibet,no,no,4.0,57,koramangala 5th block,tibetan,400,3.912793334426156
polar bear,yes,no,3.8,46,jayanagar,"ice cream, desserts, beverages, sandwich",400,3.896844710687832
shiv sagar,no,no,3.9,152,koramangala 7th block,"chinese, north indian, fast food, street food",500,3.9034859767269836
tibbs frankie,no,no,3.5,70,koramangala 7th block,"street food, rolls",200,3.861558367183281
coconadu,no,no,3.7,36,koramangala 7th block,"kerala, konkan",400,3.8926476566318167
slv restaurant,no,no,4.2,377,jp nagar,"south indian, north indian, chinese",300,4.019514546186104
udupi grand,no,no,2.8,64,koramangala 7th block,"south indian, north indian, chinese",300,3.796473405661296
malnad military hotel,no,no,3.8,40,koramangala 7th block,"south indian, chinese",500,3.897765579569174
daily bread,no,no,2.8,53,koramangala 4th block,"bakery, fast food, italian",600,3.8134939141430886
malabar coastal cuisine,no,no,3.6,68,koramangala 7th block,kerala,550,3.872974325809027
chai chowk,no,no,3.8,82,koramangala 7th block,"chinese, fast food",200,3.8916643101161204
falafel's - the lebanese haus,no,no,2.9,53,koramangala 7th block,lebanese,300,3.8217237278076848
cafe bollywood,no,no,3.4,25,jp nagar,street food,200,3.88391246868206
khan saheb grills and rolls,yes,no,3.8,62,hosur road,"fast food, rolls",350,3.894471792814929
mynt - the taj west end,no,yes,4.1,339,race course road,"italian, north indian, lebanese",2500,3.9756882588259668
cafe coffee day the square,no,no,4.1,388,lavelle road,cafe,1100,3.9819101947989264
banbay,no,no,4.0,44,vasanth nagar,"cafe, modern indian, pizza, burger, desserts",1100,3.911008001115195
smally's resto cafe,yes,yes,4.1,1852,ulsoor,"cafe, italian, burger, american, steak",650,4.0526770694671095
domino's pizza,yes,no,3.7,266,shanti nagar,"pizza, fast food",400,3.8409452517014575
pathaan sir,yes,no,3.3,156,indiranagar,"fast food, rolls, momos",250,3.7781661053656608
mcdonald's,yes,no,3.8,106,ulsoor,"burger, fast food",500,3.8885080067548765
lassi shop,no,no,3.9,32,church street,"beverages, ice cream",200,3.9041574329183772
keventers,yes,no,3.8,54,commercial street,"desserts, beverages, ice cream",400,3.8956435359816264
maravanthe,yes,yes,4.4,686,indiranagar,"seafood, mangalorean",1000,4.170626531486413
hatti kaapi,yes,no,3.9,54,brigade road,"south indian, beverages",200,3.904015629004882
mangalore pearl - seafood restaurant,yes,no,4.3,1379,frazer town,"mangalorean, seafood",700,4.181314761780786
chung's chinese corner,yes,no,2.7,283,indiranagar,chinese,700,3.514405126668363
chai point,no,no,3.8,148,cunningham road,"tea, beverages, fast food",250,3.883477781743097
fullyfilled,yes,no,4.0,48,indiranagar,"sandwich, fast food, momos",200,3.9115650715307493
the yogisthaan cafe,yes,no,4.2,1207,indiranagar,"cafe, healthy food, salad, beverages",600,4.102830968135789
millers 46,no,yes,4.4,2266,vasanth nagar,"american, continental, steak",1100,4.2974764020679554
samrat restaurant,no,no,4.1,484,race course road,"south indian, north indian",600,3.992455889030836
raidan restaurant,no,no,3.9,169,frazer town,"arabian, chinese, fast food",600,3.903408000931775
nandhini deluxe,no,no,3.6,196,frazer town,north indian,600,3.8285769767574953
aroma of asia,no,no,3.9,49,frazer town,"fast food, momos",400,3.9040470011064823
rolls on wheels,no,no,3.7,61,cunningham road,"fast food, rolls, momos",200,3.8852608599818232
china hut,no,no,3.8,56,frazer town,chinese,500,3.895347883629287
shanthi sagar deluxe,no,no,2.7,52,frazer town,"south indian, north indian, fast food",500,3.80698301820863
khan saheb grills and rolls,yes,no,3.9,185,commercial street,"fast food, rolls",350,3.903337732871326
cafe coffee day,yes,no,2.9,55,lavelle road,"cafe, fast food",650,3.8188700939754625
sunny side bistro,yes,no,3.8,362,frazer town,"cafe, continental",700,3.8647325086129576
chung wah,yes,no,3.9,194,frazer town,"chinese, thai, momos, vietnamese",800,3.903299465870253
chowmein,yes,no,4.0,279,seshadripuram,"north indian, chinese, thai, momos",600,3.9350460697794816
curries and pickles,yes,no,3.8,77,indiranagar,"andhra, north indian, biryani",250,3.8923504202217796
desi vdesi,yes,no,3.9,202,church street,"fast food, north indian, rolls",250,3.903266179959835
keventers,no,no,3.9,89,lavelle road,"desserts, beverages, ice cream",400,3.903808942217866
sreeraj lassi bar,yes,no,3.9,73,shivajinagar,"beverages, desserts",150,3.9039007239580554
watson's,no,yes,4.2,1428,ulsoor,"finger food, salad, chinese, continental",1300,4.113467102876745
a2b - adyar ananda bhavan,yes,no,3.6,42,ulsoor,"south indian, north indian, chinese, street food, fast food",400,3.8841865414030785
mcdonald's,yes,no,3.9,115,mg road,"burger, fast food",500,3.903668669558284
burger king,yes,no,3.9,645,commercial street,"burger, fast food, beverages",600,3.902095534553518
blue ginger - the taj west end,no,yes,4.4,514,race course road,vietnamese,3200,4.134923149962126
masala klub - the taj west end,no,yes,4.4,309,race course road,"north indian, south indian",4000,4.074544534120165
blue bar - the taj west end,no,yes,4.0,113,race course road,continental,2500,3.9197302282786204
lobby cafe - radha regent,no,yes,3.7,177,electronic city,"continental, american, south indian, italian, north indian, chinese",1200,3.8572787509220685
the big barbeque,no,yes,4.7,524,electronic city,"bbq, north indian, continental, chinese",1500,4.278287067899685
fire station,no,yes,4.4,808,electronic city,"continental, mexican, burger, desserts, italian, pizza, north indian, chinese",1200,4.1906290784189775
barbeque nation,no,yes,4.3,1147,electronic city,"north indian, european, mediterranean, bbq, kebab",1600,4.165471853111708
onesta,yes,yes,4.5,860,electronic city,"pizza, cafe, italian",600,4.25740184749011
time traveller - sai vishram,yes,no,4.2,882,electronic city,"continental, north indian, south indian, chinese",1100,4.081391772374846
24@43 - the oterra,no,yes,4.1,268,electronic city,"north indian, asian, continental",3000,3.96541336520157
citrus cafe - lemon tree hotel,no,yes,3.9,285,electronic city,"north indian, continental, south indian",2200,3.902956713137156
keys cafe - keys hotel,no,no,3.8,115,electronic city,"chinese, continental, north indian",1200,3.8873797177169243
bazaar - zone by the park,no,yes,4.0,415,electronic city,"continental, south indian, north indian, asian",1400,3.943827118000148
fishing boat - hotel goyal residency,yes,yes,3.9,418,electronic city,"seafood, north indian, chinese, biryani",800,3.902566977906986
